Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
27,Spotify,1,No,Hip hop,3,4,1,0,Improve
54,YouTube Music,10,Yes,Rock,2,1,2,2,Improve
16,Spotify,10,No,Rock,0,0,0,0,noEffect
23,I do not use a streaming service.,10,Yes,Video game music,8,8,5,0,Improve
35,Spotify,4,No,Country,1,1,1,0,noEffect
22,YouTube Music,4,Yes,Folk,8,7,6,2,Improve
41,Spotify,3,No,Metal,6,5,4,0,noEffect
63,Spotify,2,Yes,Rock,5,4,6,2,Improve
28,Spotify,1,No,Rock,3,1,0,2,noEffect
22,Spotify,6,Yes,Country,4,8,2,2,Improve
58,YouTube Music,1,Yes,Rock,5,6,3,1,Improve
58,YouTube Music,1,Yes,Classical,0,0,2,1,Improve
67,Other streaming service,4,Yes,Rock,7,6,7,4,Improve
70,I do not use a streaming service.,2,Yes,Country,8,5,6,1,Improve
60,YouTube Music,2,Yes,Rock,4,4,2,0,Improve
15,Spotify,2,Yes,Pop,9,8,10,9,Improve
18,YouTube Music,6,Yes,EDM,5,5,7,0,Improve
58,Other streaming service,3,Yes,Hip hop,4,6,8,1,Improve
28,Other streaming service,1,Yes,Lofi,4,8,5,0,Improve
22,Spotify,4,Yes,Lofi,9,10,6,7,Improve
49,YouTube Music,0.5,No,Classical,3,2,2,2,Improve
20,YouTube Music,8,Yes,Rock,6,2,2,1,Improve
55,YouTube Music,15,Yes,Rock,2,0,3,0,noEffect
48,Spotify,1.5,Yes,Metal,10,8,0,4,Improve
14,Spotify,2,Yes,K pop,4,4,2,2,Improve
18,Spotify,3,Yes,Pop,7,8,6,2,Improve
25,Spotify,1,Yes,Pop,7,6,5,5,Improve
71,I do not use a streaming service.,0.25,Yes,Gospel,1,0,0,0,Improve
60,YouTube Music,1,No,Gospel,6,2,8,0,Improve
18,I do not use a streaming service.,1,Yes,Video game music,4,5,7,0,noEffect
19,Spotify,5,Yes,Hip hop,10,7,0,0,Improve
74,I do not use a streaming service.,1,No,Pop,4,2,1,0,Improve
36,Pandora,1,Yes,Hip hop,7,6,2,3,Improve
14,Spotify,7,Yes,Lofi,3,2,8,0,Improve
20,Spotify,3,No,Hip hop,10,7,4,3,Improve
15,Spotify,3,Yes,K pop,4,0,0,0,noEffect
19,I do not use a streaming service.,7,Yes,Rock,7,7,0,0,Improve
29,Spotify,8,Yes,EDM,6,7,4,1,Improve
24,Spotify,2,Yes,Metal,7,6,2,7,Improve
18,Apple Music,2,Yes,Pop,6,5,8,0,Improve
21,Spotify,2,Yes,Rock,10,10,2,3,Improve
19,Spotify,2,Yes,K pop,7,6,5,1,Improve
25,Spotify,4,No,Video game music,3,0,0,0,Improve
28,Spotify,8,Yes,Rock,8,2,1,0,noEffect
27,Other streaming service,4,Yes,Rap,7,6,6,5,Improve
60,Spotify,1,No,Rock,3,2,5,0,noEffect
25,YouTube Music,5,No,Metal,8,2,1,0,Improve
60,Other streaming service,2,Yes,Rock,7,7,2,4,Improve
43,Other streaming service,1,No,Country,5,1,1,1,Improve
51,I do not use a streaming service.,5,Yes,Rock,1,2,1,0,noEffect
63,YouTube Music,8,Yes,Rock,2,1,2,2,Improve
64,YouTube Music,2,Yes,Classical,5,2,4,0,Improve
22,Spotify,2,Yes,Pop,7,2,1,0,Improve
24,YouTube Music,1,Yes,Folk,10,10,7,8,Improve
19,Spotify,8,Yes,Pop,7,2,1,6,Improve
56,Apple Music,8,Yes,Pop,6,4,1,0,Improve
20,Spotify,1,No,EDM,5,9,6,1,Improve
19,I do not use a streaming service.,1,Yes,Video game music,7,5,7,0,Improve
20,Spotify,8,Yes,Jazz,7,6,7,4,Improve
60,Spotify,2,Yes,Rock,0,0,0,0,Improve
65,Apple Music,6,Yes,R&B,3,5,0,2,noEffect
28,Spotify,3,No,Metal,8,8,5,2,Improve
18,I do not use a streaming service.,4,Yes,EDM,8,7,10,6,Improve
42,Spotify,2,Yes,Rock,2,4,5,2,Improve
80,I do not use a streaming service.,3,Yes,Classical,7,3,9,2,Improve
22,I do not use a streaming service.,4,No,Pop,8,7,4,4,Improve
56,Other streaming service,2,No,Jazz,0,0,0,5,noEffect
20,YouTube Music,1,Yes,Pop,8,6,9,8,Improve
15,Spotify,1,Yes,Video game music,4,2,3,2,Improve
57,Spotify,2,Yes,Gospel,6,4,10,0,Improve
22,Apple Music,7,Yes,Pop,8,8,10,0,Improve
17,Spotify,5,Yes,Pop,5,5,5,5,Improve
19,Spotify,3,Yes,Rock,10,8,6,2,noEffect
50,I do not use a streaming service.,1,No,Rock,0,0,7,0,Improve
24,Spotify,6,Yes,Rock,8,8,10,0,Improve
67,Apple Music,2,No,Rock,8,2,0,0,noEffect
18,Other streaming service,3,Yes,Metal,7,8,4,10,Improve
20,Spotify,1.5,Yes,Country,0,2,0,1,Improve
15,Spotify,4,Yes,Pop,3,5,4,0,Improve
17,Spotify,2,Yes,Pop,5,2,3,1,Improve
32,YouTube Music,2,Yes,Folk,6,1,0,0,Improve
18,Spotify,2,No,Rap,6,3,4,2,Improve
18,Spotify,1,Yes,Rock,5,6,8,2,Improve
18,Spotify,3,Yes,K pop,8,4,7,5,Improve
19,Spotify,3,Yes,Pop,1,1,2,3,Improve
18,Spotify,2,No,Rock,8,3,1,3,Improve
17,Other streaming service,6,Yes,Rap,3,3,0,0,Improve
34,Spotify,3,Yes,Classical,0,0,0,0,noEffect
18,YouTube Music,3,Yes,Pop,5,4,2,0,noEffect
18,Spotify,2,Yes,R&B,2,4,0,0,Improve
22,I do not use a streaming service.,2,Yes,Video game music,4,6,0,2,Improve
18,Spotify,2,Yes,Pop,5,7,2,0,Improve
19,Spotify,3,Yes,Rock,4,0,7,0,noEffect
25,I do not use a streaming service.,4,Yes,Pop,10,8,6,2,noEffect
17,Spotify,2,Yes,R&B,3,3,1,0,Improve
25,Spotify,5,Yes,Rock,8,7,2,1,Improve
18,Spotify,2,Yes,R&B,3,3,0,3,Improve
24,Spotify,7,Yes,Folk,10,10,8,10,Improve
16,Spotify,3,Yes,K pop,10,2,7,8,Improve
18,Spotify,3,No,Metal,9,6,8,5,Improve
18,Spotify,4,Yes,R&B,6,4,1,6,Improve
16,Spotify,3,Yes,Pop,3,4,6,8,Improve
68,Pandora,1,Yes,Gospel,10,10,10,0,Improve
16,Spotify,7,Yes,Video game music,4,8,8,4,noEffect
21,Spotify,1,No,R&B,3,0,0,0,Improve
53,Pandora,4,Yes,R&B,1,0,0,0,Improve
29,Spotify,4,Yes,Classical,5,6,7,7,noEffect
18,Spotify,3,Yes,Video game music,7,0,3,1,noEffect
29,Spotify,2,Yes,Pop,10,8,8,9,Improve
18,Spotify,4,Yes,R&B,3,0,3,4,Improve
22,Spotify,5,Yes,EDM,1,0,0,1,noEffect
19,Other streaming service,6,Yes,Pop,6,6,0,0,Improve
13,YouTube Music,1,Yes,Video game music,4,3,4,0,Improve
26,I do not use a streaming service.,1,No,Pop,6,4,0,0,Improve
14,Spotify,3,Yes,Rock,2,6,3,0,Worsen
27,Spotify,1,Yes,Pop,8,3,3,3,Improve
26,Spotify,8,No,Rock,8,10,7,3,noEffect
59,Other streaming service,1,No,Rock,1,0,0,1,Improve
30,Spotify,8,Yes,Rock,8,6,6,8,Improve
27,Spotify,1,Yes,Pop,6,3,1,7,Improve
18,Apple Music,1,No,Rap,2,0,3,0,Improve
23,I do not use a streaming service.,10,Yes,Metal,0,0,0,0,noEffect
18,Spotify,10,Yes,Rock,10,10,6,6,Improve
40,Spotify,5,Yes,Rock,3,0,0,1,Improve
24,Spotify,10,Yes,Rock,7,9,10,0,Improve
23,Spotify,2,Yes,Classical,8,7,6,2,Improve
56,Other streaming service,6,Yes,R&B,2,0,10,10,Improve
29,Other streaming service,2,Yes,R&B,10,7,9,3,noEffect
16,Other streaming service,3,Yes,Pop,6,0,0,0,Improve
18,Spotify,8,Yes,Gospel,3,0,2,2,Improve
21,Spotify,8,Yes,Lofi,6,5,9,8,Improve
32,Spotify,8,Yes,Rock,7,6,5,8,Improve
22,YouTube Music,8,Yes,Metal,10,7,8,6,Improve
17,Spotify,12,Yes,Latin,0,3,9,5,noEffect
18,Spotify,6,Yes,EDM,0,2,1,5,Improve
18,Spotify,4,Yes,R&B,2,0,0,0,noEffect
24,Spotify,8,Yes,Jazz,2,2,4,0,noEffect
21,Spotify,2,No,Pop,5,6,3,4,noEffect
46,I do not use a streaming service.,1,No,Rock,0,0,1,0,noEffect
18,Spotify,2,Yes,Hip hop,5,4,3,7,Improve
16,Spotify,3,Yes,K pop,2,7,0,0,Improve
21,Spotify,1,Yes,Video game music,0,6,0,4,Improve
19,I do not use a streaming service.,0,No,Classical,0,0,0,0,Improve
20,Spotify,2,Yes,Rap,7,5,1,3,Improve
21,Other streaming service,0.1,Yes,Folk,7,5,3,1,noEffect
56,I do not use a streaming service.,2,Yes,Rock,3,3,1,8,noEffect
21,Spotify,12,Yes,Rock,7,10,4,7,Worsen
20,Spotify,1,Yes,Pop,3,2,3,0,Improve
21,Apple Music,1,Yes,Rock,5,1,1,9,Improve
25,Spotify,3,Yes,Rock,8,9,4,10,Improve
33,Spotify,2,Yes,Metal,4,8,0,0,Improve
20,Spotify,2,Yes,Rock,7,9,7,0,Improve
17,Spotify,3,Yes,Rock,1,5,6,4,noEffect
24,YouTube Music,1,No,Jazz,3,2,1,0,noEffect
26,Spotify,3,Yes,Jazz,6,8,0,0,Improve
17,YouTube Music,3,Yes,Rock,6,3,6,0,Improve
16,Spotify,5,Yes,Metal,7,4,8,0,Improve
27,Spotify,8,Yes,Metal,2,6,9,1,noEffect
28,Spotify,4,Yes,Hip hop,8,5,3,8,Improve
48,I do not use a streaming service.,5,Yes,Rock,3,3,0,0,Improve
19,Spotify,3,Yes,Rap,7,5,3,3,Improve
21,YouTube Music,4,Yes,Rock,4,8,2,3,Improve
21,I do not use a streaming service.,1,Yes,Classical,3,0,0,5,Improve
15,Spotify,4,Yes,Metal,10,7,3,2,Improve
20,Spotify,1,No,Rock,10,4,8,0,Improve
21,YouTube Music,2,Yes,Video game music,2,2,0,0,Improve
22,Spotify,6,Yes,Folk,8,7,7,3,Improve
22,Spotify,2,No,Rock,10,5,2,8,Improve
31,Spotify,1,Yes,Rock,9,10,10,6,noEffect
20,YouTube Music,4,Yes,Metal,5,2,1,6,Improve
49,I do not use a streaming service.,8,Yes,Classical,4,8,9,1,Improve
42,Spotify,2,Yes,Metal,7,8,5,3,Improve
26,Spotify,2,Yes,EDM,2,2,0,3,noEffect
17,Spotify,10,Yes,K pop,10,3,0,4,Improve
30,I do not use a streaming service.,0,No,Metal,10,10,10,9,Improve
23,Spotify,6,Yes,Folk,3,7,7,4,noEffect
30,Apple Music,3,Yes,EDM,7,5,7,7,Improve
31,Spotify,2,Yes,Metal,7,4,8,8,Improve
42,Other streaming service,0.25,No,Classical,7,9,4,5,Improve
16,Other streaming service,4,Yes,EDM,4,7,1,3,Improve
34,YouTube Music,2,No,Metal,5,9,9,6,Improve
21,YouTube Music,2,Yes,Pop,5,4,10,7,noEffect
27,YouTube Music,3,Yes,Pop,7,2,0,1,Improve
18,Spotify,6,Yes,Folk,8,6,0,2,Improve
26,Spotify,3,No,Metal,1,3,10,0,noEffect
37,Spotify,2,Yes,Rock,8,10,10,2,Worsen
26,Spotify,5,Yes,Folk,4,7,6,0,noEffect
19,Spotify,4,No,Pop,9,6,3,0,noEffect
22,Spotify,4,Yes,Rock,10,7,4,4,Improve
43,I do not use a streaming service.,0,No,Rock,1,2,2,0,noEffect
24,I do not use a streaming service.,12,Yes,Rock,7,10,0,8,Improve
21,I do not use a streaming service.,0.5,No,Pop,10,2,1,10,Worsen
28,I do not use a streaming service.,1,Yes,Rock,2,1,2,2,Improve
23,YouTube Music,3,Yes,R&B,3,10,0,0,noEffect
20,Apple Music,12,No,Rock,7,10,2,0,Improve
17,Spotify,4,Yes,Metal,4,2,0,0,Improve
19,Spotify,3,Yes,R&B,4,2,5,3,Improve
32,Spotify,1,Yes,Metal,6,8,7,0,Improve
18,YouTube Music,4,No,Folk,8,6,4,0,Improve
20,Other streaming service,2,Yes,Rock,2,2,0,0,noEffect
27,Spotify,3,Yes,Rock,8,7,9,3,Improve
15,Spotify,3,Yes,Rock,4,3,5,0,noEffect
26,Spotify,1,Yes,Rock,6,1,0,4,noEffect
24,Spotify,2,Yes,Pop,6,6,3,6,Improve
20,Spotify,1,Yes,K pop,8,7,1,1,noEffect
21,YouTube Music,0.5,Yes,Pop,5,3,4,1,Improve
16,Spotify,2,Yes,Video game music,6,2,4,3,Improve
21,Spotify,11,Yes,Metal,5,6,6,0,Improve
27,Spotify,10,Yes,Jazz,6,10,8,1,Improve
17,Spotify,5,Yes,Rock,7,3,9,7,Improve
21,Spotify,1.5,Yes,Classical,4,6,0,0,noEffect
17,Spotify,2,Yes,Folk,9,4,0,1,Improve
21,Spotify,3,No,Rap,9,7,7,5,Improve
17,YouTube Music,2,No,Rock,5,10,2,7,noEffect
36,YouTube Music,3,Yes,Country,1,0,1,0,Improve
18,Spotify,4,No,R&B,8,7,2,6,Improve
18,Spotify,1,No,K pop,5,1,4,0,Improve
18,Apple Music,5,Yes,Latin,10,6,0,0,Improve
18,Apple Music,2,Yes,R&B,7,5,5,5,Improve
18,Spotify,7,Yes,Hip hop,3,1,0,3,Improve
18,Spotify,2,Yes,Rap,5,8,7,4,Improve
18,I do not use a streaming service.,1,Yes,Classical,2,0,0,5,noEffect
18,I do not use a streaming service.,1,No,Classical,7,0,0,0,noEffect
18,Spotify,4,Yes,R&B,8,0,0,2,noEffect
20,Spotify,6,Yes,R&B,4,1,1,0,Improve
19,Spotify,3,Yes,Hip hop,3,8,0,2,Improve
17,Spotify,4,Yes,Hip hop,7,0,2,2,Improve
23,Spotify,4,Yes,Video game music,10,8,10,0,Improve
18,YouTube Music,1,Yes,Pop,7,1,1,1,Improve
19,Spotify,2,Yes,Pop,5,9,1,7,noEffect
89,Spotify,24,Yes,Rap,0,0,0,0,noEffect
20,Spotify,5,Yes,R&B,10,6,3,8,Improve
16,Spotify,3,No,Rock,7,3.5,3.5,5.5,Improve
17,Spotify,4,Yes,Country,2,0,0,2,Improve
16,Spotify,9,Yes,Metal,10,10,10,8,Improve
20,YouTube Music,1,Yes,Pop,8,9,6,5,Worsen
30,YouTube Music,1,Yes,Rock,9,7,8,4,Improve
37,Spotify,2,Yes,Folk,6,4,5,0,Improve
44,YouTube Music,1.5,No,Folk,8,5,9,4,Improve
21,Spotify,2,Yes,Metal,3,7,0,0,Improve
19,Spotify,4,Yes,Pop,9,1,0,9,Improve
23,Spotify,1,Yes,Rock,8,6,1,4,Improve
26,Spotify,1,No,Country,4,1,1,6,Improve
18,Spotify,3,Yes,Video game music,6,5,3,1,noEffect
35,Spotify,4,Yes,Hip hop,7,8,6,5,Improve
16,Spotify,8,Yes,Rock,8,9,5,10,Improve
19,Spotify,5,Yes,Metal,8,6,7,0,Improve
23,I do not use a streaming service.,3,Yes,Rock,10,5,2,0,Improve
17,YouTube Music,8,Yes,Pop,5,2,4,7,noEffect
29,Apple Music,1,No,Country,9,3,2,0,noEffect
21,Spotify,4,Yes,Pop,4,6,3,4,Improve
17,Spotify,1,No,Metal,9,8,4,0,Improve
23,Spotify,2,No,Rock,5,7,10,2,noEffect
17,Spotify,1,Yes,Metal,8,3,9,2,noEffect
22,Spotify,3,Yes,Video game music,10,10,6,8,Improve
17,Spotify,5,Yes,Hip hop,7,7,5,5,Improve
19,Spotify,5,Yes,Pop,10,8,1,0,Improve
19,Spotify,4,Yes,Pop,8,6,2,0,Improve
16,Spotify,6,Yes,Pop,10,7,6,10,Improve
19,Spotify,6,Yes,Pop,6,6,8,0,Improve
13,Spotify,1,Yes,Video game music,10,10,8,4,Worsen
18,Apple Music,18,Yes,EDM,9,8,5,10,Improve
26,YouTube Music,1,Yes,Metal,0,0,0,0,noEffect
14,Other streaming service,7,Yes,Country,7,3,1,2,Improve
21,I do not use a streaming service.,0.5,No,Pop,6,2,2,0,Improve
21,Spotify,2,Yes,R&B,7,6,4,6,Improve
17,Spotify,2,Yes,Rock,7,6,0,9,Improve
18,Spotify,1,Yes,Pop,3,2,2,5,Improve
19,Other streaming service,6,Yes,Rap,2,2,2,2,Improve
19,Spotify,5,Yes,Classical,2,3,2,1,Improve
29,YouTube Music,2,Yes,Hip hop,2,2,2,5,Improve
