Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
34,Other streaming service,4,Yes,Metal,6,7,0,0,noEffect
21,YouTube Music,3,Yes,Metal,10,0,10,10,Improve
23,Spotify,2,Yes,Metal,6,3,0,1,Improve
16,Spotify,3,No,Pop,7,5,5,3,Improve
19,YouTube Music,4,Yes,Pop,7,10,5,0,Improve
22,Spotify,2,Yes,Rock,8,6,0,0,Improve
19,Spotify,8,Yes,K pop,4,3,0,0,Improve
23,Spotify,4,Yes,Hip hop,7,6,7,5,Improve
23,Spotify,2,No,Metal,7,3,2,3,Improve
22,Spotify,1,No,EDM,2,7,5,0,Improve
17,Spotify,3,Yes,Rock,7,8,6,5,Improve
28,Spotify,0.5,No,Folk,4,7,1,0,Improve
23,Spotify,2,No,Rock,7,8,5,1,noEffect
19,Apple Music,3,Yes,Rock,5,2,8,6,Improve
17,Spotify,2,Yes,Hip hop,10,7,4,2,Improve
21,YouTube Music,1,No,Rock,6,5,0,0,noEffect
29,Other streaming service,5,Yes,Jazz,7,2,3,1,Improve
22,Spotify,10,No,EDM,4,7,7,3,Improve
18,Spotify,4,Yes,Pop,4,5,6,5,Improve
13,Spotify,2,Yes,Rock,7,10,5,6,Worsen
24,Spotify,1,No,Metal,6,4,5,0,Improve
35,Spotify,6,Yes,Rock,4,1,3,1,noEffect
29,YouTube Music,1,Yes,Video game music,6,6,1,2,Improve
28,Spotify,6,Yes,Rock,10,8,7,1,Improve
32,Spotify,7,Yes,Pop,10,8,2,8,Improve
32,Other streaming service,1,No,EDM,3,6,2,0,noEffect
21,Spotify,3,Yes,Rock,8,9,2,0,Improve
18,Spotify,2,Yes,Video game music,8,3,8,7,Improve
19,Spotify,3,Yes,Classical,3,3,1,2,Improve
18,Apple Music,2,Yes,Pop,6,5,2,0,Improve
16,YouTube Music,3,Yes,Pop,0,0,4,0,noEffect
25,Spotify,1.5,Yes,Pop,6,5,0,2,Improve
17,Spotify,4,Yes,Lofi,3,8,0,0,Improve
16,Spotify,2,Yes,Rap,1,8,0,0,noEffect
27,Spotify,10,Yes,Metal,5,6,6,3,Improve
53,Spotify,7,Yes,Pop,0,0,0,0,Improve
25,Spotify,1,Yes,EDM,0,8,0,0,Improve
34,Spotify,2,No,Metal,3,7,0,0,Improve
22,Other streaming service,6,Yes,Jazz,8,8,8,5,Improve
17,Spotify,2,Yes,Jazz,5,2,3,4,Improve
26,Spotify,3,Yes,Folk,8,8,3,0,Improve
19,Spotify,8,Yes,EDM,6,8,8,0,Improve
21,Spotify,3,Yes,Pop,6,8,6,0,Worsen
32,Spotify,3,Yes,Rock,6,6,7,5,Improve
21,I do not use a streaming service.,3,Yes,Rock,9,10,3,0,noEffect
25,Spotify,2,No,Pop,7,7,5,0,Improve
26,Spotify,1,No,Rock,10,7,2,8,noEffect
21,Spotify,2,Yes,Metal,1,3,0,6,noEffect
17,Spotify,2,Yes,Pop,5,3,2,1,Improve
28,I do not use a streaming service.,4,Yes,Rock,6,8,1,6,Improve
41,YouTube Music,4,Yes,Pop,7,2,0,7,Improve
18,Spotify,1,Yes,Metal,6,9,9,0,Improve
22,Spotify,2,No,R&B,1,1,4,1,noEffect
49,Other streaming service,1,Yes,EDM,8,8,2,0,Improve
21,Spotify,3,Yes,Metal,3,3,7,0,noEffect
27,Spotify,10,Yes,Metal,8,8,3,0,Improve
19,Spotify,1,No,Metal,6,4,0,3,noEffect
27,Spotify,3,Yes,Metal,1,0,0,0,Improve
27,Spotify,1.5,Yes,Rock,5,5,4,4,Improve
42,YouTube Music,2.5,Yes,Rock,8,8,7,6,Improve
60,Pandora,2,Yes,Gospel,3,0,2,0,Improve
19,YouTube Music,5,Yes,Metal,0,5,1,0,noEffect
20,Apple Music,2,Yes,Pop,6,3,0,0,Improve
28,Spotify,2,No,Metal,1,7,5,1,Improve
16,I do not use a streaming service.,2,No,Video game music,4,2,1,1,noEffect
18,Spotify,2,Yes,R&B,5,6,0,1,noEffect
34,Spotify,1,Yes,Rock,1,0,0,0,noEffect
18,YouTube Music,1.5,Yes,Pop,8,6,5,2,Improve
21,Spotify,5,Yes,Folk,9,4,0,3,Improve
38,Spotify,0.5,No,Rock,4,6,6,4,Improve
17,Spotify,2,Yes,Rock,7,3,1,5,Improve
